number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_lr,params_momentum,params_weight_decay,state
0,0.6731666666666667,2025-11-10 02:49:52.166229,2025-11-10 03:05:51.560924,0 days 00:15:59.394695,36,256,0.0022105565768306174,0.9808711765235181,0.0020955753709118075,COMPLETE
1,0.6016,2025-11-10 03:05:51.567031,2025-11-10 03:55:26.233307,0 days 00:49:34.666276,49,32,0.0392055375853648,0.9869352509755609,0.0004177487249277445,COMPLETE
2,0.5199,2025-11-10 03:55:26.238655,2025-11-10 04:10:46.032536,0 days 00:15:19.793881,50,256,0.00011984697211055768,0.9817669281715783,8.522290886585251e-05,COMPLETE
3,0.5340333333333334,2025-11-10 04:10:46.038964,2025-11-10 04:45:14.551128,0 days 00:34:28.512164,37,64,0.00014244945322085012,0.8396218635687808,0.004781870275977373,COMPLETE
4,0.7062666666666667,2025-11-10 04:45:14.558640,2025-11-10 05:19:59.302733,0 days 00:34:44.744093,39,64,0.03342756988798909,0.9643526868984178,1.3879349006474364e-05,COMPLETE
5,0.7779666666666667,2025-11-10 05:19:59.308216,2025-11-10 06:06:25.320815,0 days 00:46:26.012599,34,32,0.03813051880816819,0.8014658150743693,0.002106848742399918,COMPLETE
6,0.7684666666666666,2025-11-10 06:06:25.326153,2025-11-10 06:53:07.318549,0 days 00:46:41.992396,43,32,0.011746829933936106,0.832346548267776,0.003599219617460133,COMPLETE
7,0.6966333333333333,2025-11-10 06:53:07.325057,2025-11-10 07:16:24.001054,0 days 00:23:16.675997,33,128,0.004768595332591026,0.9250833268813234,0.0018186914519501445,COMPLETE
8,0.3711,2025-11-10 07:16:24.008337,2025-11-10 07:16:44.202350,0 days 00:00:20.194013,24,256,0.0005999975506049325,0.9293080063320065,0.002927991528386631,PRUNED
9,0.37043333333333334,2025-11-10 07:16:44.206749,2025-11-10 07:17:26.831066,0 days 00:00:42.624317,24,64,0.09739631116369561,0.9418573101169465,0.0035095370156245265,PRUNED
10,0.7311333333333333,2025-11-10 07:17:26.836742,2025-11-10 08:04:48.203134,0 days 00:47:21.366392,32,32,0.008370591459688631,0.8010389168390833,0.0003950960458329061,COMPLETE
