number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_lr,params_momentum,params_weight_decay,state
0,0.6806666666666666,2025-11-06 13:01:19.344688,2025-11-06 13:36:04.545476,0 days 00:34:45.200788,22,64,0.0026730115761822294,0.9362263029463423,0.0008803677954632701,COMPLETE
1,0.6675333333333333,2025-11-06 13:36:04.551099,2025-11-06 13:53:01.158653,0 days 00:16:56.607554,23,256,0.017100164822354397,0.8324583749952593,0.0054839044518102485,COMPLETE
2,0.47763333333333335,2025-11-06 13:53:01.163886,2025-11-06 14:09:14.734279,0 days 00:16:13.570393,22,256,0.00022594875250826332,0.8340034473685632,2.5990037539656727e-05,COMPLETE
3,0.6834,2025-11-06 14:09:14.739947,2025-11-06 14:44:18.402481,0 days 00:35:03.662534,31,64,0.002584755725743059,0.9681607189053222,0.0008900055058364021,COMPLETE
4,0.6985333333333333,2025-11-06 14:44:18.408294,2025-11-06 15:30:43.707549,0 days 00:46:25.299255,22,32,0.0005082543797220498,0.9890530879573657,0.00714880647390034,COMPLETE
5,0.3957333333333333,2025-11-06 15:30:43.714424,2025-11-06 15:31:10.898886,0 days 00:00:27.184462,32,128,0.0004878079266425737,0.9070053110714643,1.4376621717383118e-05,PRUNED
6,0.4448,2025-11-06 15:31:10.903730,2025-11-06 15:32:07.464548,0 days 00:00:56.560818,42,32,0.00045623244089604997,0.8563774358820997,6.993176431092776e-05,PRUNED
7,0.5554,2025-11-06 15:32:07.470295,2025-11-06 15:33:59.600338,0 days 00:01:52.130043,29,32,0.0007926116052638472,0.932849555307009,0.0008060000183372091,PRUNED
8,0.38776666666666665,2025-11-06 15:33:59.606693,2025-11-06 15:34:26.930996,0 days 00:00:27.324303,28,128,0.017991651291352866,0.988787067831043,0.0007643211025078231,PRUNED
9,0.3448333333333333,2025-11-06 15:34:26.935513,2025-11-06 15:34:54.605050,0 days 00:00:27.669537,26,128,0.00022892283656484737,0.9134158195179066,0.0002942710004277961,PRUNED
10,0.5820333333333333,2025-11-06 15:34:54.610448,2025-11-06 15:37:43.862873,0 days 00:02:49.252425,50,32,0.00568557485941946,0.8685692162709533,0.009850294707731036,PRUNED
11,0.4719,2025-11-06 15:37:43.867593,2025-11-06 15:38:25.300443,0 days 00:00:41.432850,38,64,0.002120365667098797,0.9817060762350286,0.002465736147058513,PRUNED
12,0.3988,2025-11-06 15:38:25.305621,2025-11-06 15:39:07.356446,0 days 00:00:42.050825,36,64,0.07890822374221665,0.9613960492029257,0.00017559179257948816,PRUNED
